film_page,name,category,content,img
http://fast-torrents.co/6218-master-propovedey-2019.html,Мастер проповедей (2019),"Фильмы 2019,Драмы 2019","Съемочная группа документального фильма снимает путь начинающего священника. Во время съемок открываются тайны церквей, в которые приходит главный герой, но съемочная группа не остановится ни перед",http://fast-torrents.co/uploads/posts/2020-03/158491170711.jpg
http://fast-torrents.co/6217-izgoy-zhizn-i-smert-sonni-listona-2019.html,Изгой: жизнь и смерть Сонни Листона (2019),Документальные фильмы 2019,"Казалось он совершил невозможное, несмотря на все препятствия, которые создавала ему жизнь, в 1962 году Сонни Листону удалось нокаутировать Флойда Паттерсона и стать обладателем титула чемпиона мира",http://fast-torrents.co/uploads/posts/2020-03/medium/158491170211.jpg
http://fast-torrents.co/6216-tancevalnaya-istoriya-2019.html,Танцевальная История (2019),"Фильмы 2019,Мелодрамы 2019","Уличный танцор, Пабло Гарсия, делает всё, чтобы его строгий отец, Карлос Гарсия, гордился тем, что он получает медицинское образование. Однако жизнь Пабло переворачивается с ног на голову, когда он",http://fast-torrents.co/uploads/posts/2020-03/158483280811.jpg
http://fast-torrents.co/6215-perepletayuschiesya-dushi-2019.html,Переплетающиеся души (2019),"Фильмы 2019,Ужасы 2019","Группа студентов приезжает в закрывающуюся школу, где, по слухам, обитают призраки. Пока на дворе лето, и в здании нет учеников, директор школы - дядя одного из друзей - разрешает ребятам пожить в",http://fast-torrents.co/uploads/posts/2020-03/158483280311.jpg
http://fast-torrents.co/6214-ostorozhno-deti-2019.html,Осторожно: дети! (2019),"Фильмы 2019,Драмы 2019,Детективы 2019",Во время школьной перемены 13-летний Джейми получает сотрясение мозга и умирает в больнице. «Виновница» происшествия - его одноклассница Ликке. Именно она ударила мальчика портфелем по голове. Но,http://fast-torrents.co/uploads/posts/2020-03/158483190711.jpg
http://fast-torrents.co/6213-mertvyy-gruz-2019.html,Мертвый груз (2019),"Фильмы 2019,Драмы 2019,Триллеры 2019","Женщина просыпается посреди пустыни с амнезией, травмой ноги и странной сумкой, лежащей рядом. Пытаясь найти способ выбраться оттуда, она одновременно старается вспомнить, кто она такая и почему от",http://fast-torrents.co/uploads/posts/2020-03/158483190211.jpg
http://fast-torrents.co/6212-korolevstva-2019.html,Королевства (2019),"Фильмы 2019,Драмы 2019","Аки и Нодока дружили с детства, но жизнь их разлучила. Нодока вышла замуж, родила дочь и с головой погрузилась в семейные хлопоты. В то время как Аки одинока и переживает личностный кризис. Сюжет не",http://fast-torrents.co/uploads/posts/2020-03/158483070611.jpg
http://fast-torrents.co/6211-hitmen-2020.html,Хитмен (2020),"Фильмы 2020,Боевики 2019,Комедии 2019","Агент спецслужб решает начать жизнь заново. Уволившись из разведки, мужчина становится художником комиксов, но это занятие оказывается не таким простым, как он предполагал, да творчество его не",http://fast-torrents.co/uploads/posts/2020-03/158483070111.jpg
http://fast-torrents.co/6210-bessmertnyy-2019.html,Бессмертный (2019),"Фильмы 2019,Драмы 2019,Криминальные фильмы 2019","Тело Чиро тонет в тёмных водах Неаполитанского залива. И по мере того, как он погружается всё глубже и глубже, появляются воспоминания. Приглушенные водой звуки сливаются с криками бегущих людей. Это",http://fast-torrents.co/uploads/posts/2020-03/158482920711.jpg
http://fast-torrents.co/6209-lyubovnyy-kokteyl-2020.html,Любовный Коктейль (2020),"Фильмы 2020,Драмы 2019","Главный герой - Ади - никак не может найти свою любовь. С детства его жизнь полна взлётов и падений, а так же неудачных отношений. Будет ли удача на его стороне? Сможет ли он наконец обрести своё",http://fast-torrents.co/uploads/posts/2020-03/158482920211.jpg
http://fast-torrents.co/6208-platforma-2019.html,Платформа (2019),"Фильмы 2019,Триллеры 2019,Ужасы 2019","Несколько человек просыпается в некой многоэтажной подземной тюрьме, в которую они попали добровольно. На каждом уровне находятся двое заключённых, а сколько всего уровней - неизвестно. Все этажи",http://fast-torrents.co/uploads/posts/2020-03/158482890711.jpg
http://fast-torrents.co/6207-1800-grammov-2019.html,1800 граммов (2019),"Фильмы 2019,Комедии 2019","Действие фильма происходит в Кракове перед Рождеством. Героиня фильма - Ева - директор центра по усыновлению, которая ищет новых родителей для брошенных детей. Для нее нет ничего невозможного, она",http://fast-torrents.co/uploads/posts/2020-03/158482890211.jpg
http://fast-torrents.co/6206-vinogradnaya-loza-rasskaz-lyagushki-2019.html,Виноградная лоза: Рассказ лягушки (2019),"Фильмы 2019,Мелодрамы 2019","Вивек Вишванат, маркетолог из рекламного агентства, встречается с Имой Раджив, руководителем стартапа библиотеки. Если бы не поезд в Мумбаи и немая девушка, они давно были бы вместе.",http://fast-torrents.co/uploads/posts/2020-03/158474670711.jpg
http://fast-torrents.co/6205-beschestnyy-2019.html,Бесчестный (2019),"Фильмы 2019,Ужасы 2019","Задолжав крупную сумму денег криминальному боссу, Даррен уговаривает своих друзей совершить ограбление дома состоятельного человека, на которого работает его подруга Джо, однако преступление идёт не",http://fast-torrents.co/uploads/posts/2020-03/158474670111.jpg
http://fast-torrents.co/6204-tehasskie-zombovoyny-baza-titan-2019.html,Техасские зомбовойны: База Титан (2019),"Фильмы 2019,Боевики 2019",В постапокалиптическом Техасе был захвачен и потерян стратегический пограничный аванпост Эль-Пасо. При допросе выживших в Новом Техасе выясняются тёмные тайны произошедших событий.,http://fast-torrents.co/uploads/posts/2020-03/158474640811.jpg
http://fast-torrents.co/6203-esli-povezet-seks-menyaet-vse-2019.html,Если повезет: секс меняет все (2019),"Фильмы 2019,Комедии 2019","Шестеро подростков приезжают на море, чтобы хорошенько отдохнуть после тяжёлого учебного года. Это лето обещает быть насыщенным: первая любовь и первый секс откроют им дорогу во взрослую жизнь.",http://fast-torrents.co/uploads/posts/2020-03/158474640411.jpg
http://fast-torrents.co/6202-luchshiy-drug-cheloveka-2019.html,Лучший друг человека (2019),"Фильмы 2019,Военные фильмы 2019,Драмы 2019","Инвалид и ветеран войны Пол Лэндингс ведёт тихую жизнь и работает уборщиком в приюте для животных. Он держит дома собак, которых не забрали из приюта и поэтому могут успыть. Но глупый поступок одного",http://fast-torrents.co/uploads/posts/2020-03/158474430711.jpg
http://fast-torrents.co/6201-preimuschestva-puteshestviy-poezdami-2019.html,Преимущества путешествий поездами (2019),"Фильмы 2019,Комедии 2019,Криминальные фильмы 2019",Импозантный мужчина в поезде знакомится с молодой женщиной по имени Хельга Пато. Он представляется психиатром Анхелем Санагустином и рассказывает о самом кошмарном случае из своей практики - истории,http://fast-torrents.co/uploads/posts/2020-03/158474430211.jpg
http://fast-torrents.co/6200-moy-koshmarnyy-arendodatel-2020.html,Мой кошмарный арендодатель (2020),"Фильмы 2020,Триллеры 2019","После расставания с парнем главная героиня Лидия снимает себе отдельное жилье, не замечая того, как становится объектом помешательства ее нового арендодателя Дрю.",http://fast-torrents.co/uploads/posts/2020-03/158474400811.jpg
http://fast-torrents.co/6196-vyhodim-na-rassvete-2020.html,Выходим на рассвете (2020),"Фильмы 2020,Военные фильмы 2019,Исторические фильмы 2019","За шесть дней до дня Д Виктор Лоуренс, один из тех, кто занимался планированием высадки в Нормандии, сбит над Францией. Пойманный нацистами, он содержится в лагере для военнопленных под вымышленным",http://fast-torrents.co/uploads/posts/2020-03/158466150611.jpg
http://fast-torrents.co/6195-ubiyca-v-kostyume-santy-2019.html,Убийца в костюме Санты (2019),"Фильмы 2019,Триллеры 2019","Алам и Сара придумали целую схему, как выставить убийство самоубийством. Вскоре они входят во вкус и становятся серийными самоубийцами, совершая самосуд.",http://fast-torrents.co/uploads/posts/2020-03/158466150111.jpg
http://fast-torrents.co/6194-pod-konec-dnya-2020.html,Под конец дня (2020),"Фильмы 2020,Триллеры 2019","Любовь - штука сложная. Карли и Рина поняли это как никто другой, после того как Карли бросила учебу на врача, а Рину уволили. Им пришлось переехать жить в мотель и всё стало еще хуже, когда Рине",http://fast-torrents.co/uploads/posts/2020-03/158466121011.jpg
http://fast-torrents.co/6193-poslednie-otvetchiki-zhizn-posle-smerti-2019.html,Последние ответчики: жизнь после смерти (2019),"Фильмы 2019,Драмы 2019,Мелодрамы 2019,Триллеры 2019","Медэксперт, Теодор Дэвис, возвращается к работе после длительного перерыва из-за смерти его напарника Элиз. Он знакомится с новой сотрудницей по имени Кай, которой удается отвлечь его от горя. Но по",http://fast-torrents.co/uploads/posts/2020-03/158466120511.jpg
http://fast-torrents.co/6192-pomilovanie-2019.html,Помилование (2019),"Фильмы 2019,Драмы 2019","Начальницу тюрьмы Бернадин Уильямс начинают тяготить многочисленные смертные приговоры, приведённые в исполнение. Всё меняется с появлением очередного заключенного, ожидающего казни. Общаясь с ним,",http://fast-torrents.co/uploads/posts/2020-03/158465340911.jpg
http://fast-torrents.co/6190-plohoy-komik-2019.html,Плохой Комик (2019),"Фильмы 2019,Комедии 2019",Несгибаемый ведущий комического ток-шоу - Бобби Флаванойд полон решимости поставить Голливуд на колени. Это забавная история о настойчивости и стойкости.,http://fast-torrents.co/uploads/posts/2020-03/158462430211.jpg
http://fast-torrents.co/6189-fatalnaya-privyazannost-2020.html,Фатальная привязанность (2020),"Фильмы 2020,Драмы 2019,Триллеры 2019","Пережив жестокое нападение психически нездорового человека, Лили Абрамс решает сменить имя и переехать, начав жизнь с чистого листа. Травмированная физически и психологически, она пытается забыть",http://fast-torrents.co/uploads/posts/2020-03/158461980911.jpg
http://fast-torrents.co/6188-kak-vyrastit-tigrovuyu-liliyu-2019.html,Как вырастить тигровую Лилию (2019),"Фильмы 2019,Детективы 2019,Драмы 2019,Комедии 2019","Лили - фотограф, страдающая от тревожного расстройства. Она пытается избавить свою жизнь от людей, которые постоянно ею манипулируют и выяснить что за таинственная женщина её преследует.",http://fast-torrents.co/uploads/posts/2020-03/158461980311.jpg
http://fast-torrents.co/6187-otpusti-i-doversya-bogu-2020.html,Отпусти и доверься богу (2020),"Фильмы 2020,Драмы 2019","Двое незнакомцев подвергают сомнению существование бога после того как пережили трагическую утрату. Кто знал, что поиск пропавшего ребёнка даст ответы на их вопросы.",http://fast-torrents.co/uploads/posts/2020-03/158461860711.jpg
http://fast-torrents.co/6186-ovca-bez-pastuha-2019.html,Овца без пастуха (2019),"Фильмы 2019,Драмы 2019,Триллеры 2019,Криминальные фильмы 2019","Небольшой приграничный город. Старшую дочь законопослушного гражданина изнасиловал сын влиятельного человека, против которого закон бессилен. Безутешным родителям приходится взять правосудие в свои",http://fast-torrents.co/uploads/posts/2020-03/158461860211.jpg
http://fast-torrents.co/6185-ostrie-reki-2019.html,Острие реки (2019),"Фильмы 2019,Боевики 2019","Двоим парням поручают привезти из леса бочку с соляной кислотой, но что-то идёт не по плану, и в лесу ребята сталкиваются с тем, к чему не были готовы.",http://fast-torrents.co/uploads/posts/2020-03/158461830711.jpg
http://fast-torrents.co/6184-tot-kto-ryadom-2020.html,"Тот, кто рядом (2020)","Фильмы 2020,Драмы 2019,Триллеры 2019,Исторические фильмы 2019",26 октября 1979 года президент Южной Кореи Пак Чон-хи был застрелен директором Национального агентства разведки.,http://fast-torrents.co/uploads/posts/2020-03/158461830211.jpg
http://fast-torrents.co/6183-vne-podozreniy-2019.html,Вне подозрений (2019),"Фильмы 2019,Боевики 2019,Триллеры 2019,Криминальные фильмы 2019","Подлинная история новоиспеченного агента ФБР, который, получив назначение в Кентукки, находит бесценного доносчика в лице местной красавицы. Для девушки, увязшей в среде социальных отбросов, связь с",http://fast-torrents.co/uploads/posts/2020-03/158456730711.jpg
http://fast-torrents.co/6182-nash-konec-2019.html,Наш конец (2019),"Фильмы 2019,Драмы 2019","Том внезапно решает покончить с собой, и никто не знает мотивов этого поступка. Его близкие пытаются пережить горе и найти способ жить дальше.",http://fast-torrents.co/uploads/posts/2020-03/158456730211.jpg
http://fast-torrents.co/6181-mark-maron-konec-veselym-vremenam-2020.html,Марк Марон: Конец веселым временам (2020),"Фильмы 2020,Комедии 2019","Марк Марон бродит по болотам, торгующим витаминами, евангелистами и взрослыми детьми-ботаниками, и завершается радостно грязной фантазией о последних временах.",http://fast-torrents.co/uploads/posts/2020-03/158456611011.jpg
http://fast-torrents.co/6177-pinokkio-2019.html,Пиноккио (2019),Фильмы 2019,"Легендарная история оживает на больших экранах, как никогда прежде. Невероятное путешествие в мир удивительных созданий и волшебства, где даже деревянная кукла может стать настоящим человеком, если",http://fast-torrents.co/uploads/posts/2020-03/158453070411.jpg
http://fast-torrents.co/6176-orakabessa-plen-2019.html,Оракабесса / Плен (2019),"Фильмы 2019,Драмы 2019,Триллеры 2019,Криминальные фильмы 2019",Девушка по имени Оракабесса пытается найти пропавшего шестилетнего мальчика. В результате этих поисков она сталкивается с безжалостными похитителями людей.,http://fast-torrents.co/uploads/posts/2020-03/158453041011.jpg
http://fast-torrents.co/6175-ubit-layonela-2019.html,Убить Лайонела (2019),"Фильмы 2019,Боевики 2019,Криминальные фильмы 2019",Лайонел любит поколачивать жену. Несчастная женщина мечтает избавиться от ненавистного муженька. Волей случая у неё появляются влиятельные единомышленники из числа местных гангстеров. Лайонел,http://fast-torrents.co/uploads/posts/2020-03/158453040411.jpg
http://fast-torrents.co/6174-okonchatelnyy-montazh-dzho-rayzera-2019.html,Окончательный монтаж Джо Райзера (2019),"Фильмы 2019,Ужасы 2019","Начинающему сценаристу Джеймсу и его подруге-режиссёру Рэйчел предстоит снять новый фильм за очень короткий срок по причине того, что их прежний фильм был похищен, доказательств чему они предъявить",http://fast-torrents.co/uploads/posts/2020-03/158448630811.jpg
http://fast-torrents.co/6173-lio-i-akula-2019.html,Лио и Акула (2019),"Фильмы 2019,Триллеры 2019","Лио Уайт - амбициозный молодой человек с взрывным характером. Однажды он ссорится со своим менеджером Катриной, которая как оказалось была дочерью босса русской мафии. Эта стычка приводит к ряду",http://fast-torrents.co/uploads/posts/2020-03/158448630311.jpg
http://fast-torrents.co/6172-proceder-2019.html,Процедер (2019),Фильмы 2019,"Томаш Хада - талантливый, и добрый в душе, но неспокойный по натуре рэпер. Фильм повествует о пройденном им тернистом пути от тяжких будней в трущобах к народной славе.",http://fast-torrents.co/uploads/posts/2020-03/158448390611.jpg
http://fast-torrents.co/6171-podstava-2-2020.html,Подстава 2 (2020),"Фильмы 2020,Драмы 2019","Отсидев два года в тюрьме без суда и следствия, Голливуд возвращается в город. Теперь у королевы гангстеров лишь одна цель - наказать тех, кто её подставил.",http://fast-torrents.co/uploads/posts/2020-03/158448390111.jpg
http://fast-torrents.co/6170-teylor-tomlinson-krizis-1-4-zhizni-2020.html,Тейлор Томлинсон: Кризис 1/4 жизни (2020),"Фильмы 2020,Комедии 2019","Она на полпути к ее 20-ым - и она покончила с этим. Слишком стар для вечеринки, слишком молод, чтобы успокоиться, комик Тейлор Томлинсон нацеливается на свой жизненный выбор.",http://fast-torrents.co/uploads/posts/2020-03/158448150611.jpg
http://fast-torrents.co/6169-bitva-za-horoshego-parnya-2019.html,Битва за хорошего парня (2019),"Фильмы 2019,Мелодрамы 2019",Барберу придется выбирать между долгими и стабильными отношениями и неожиданной влюбленностью в одну из своих клиенток.,http://fast-torrents.co/uploads/posts/2020-03/158448150211.jpg
http://fast-torrents.co/6168-amerikanskiy-slesher-chast-vtoraya-2019.html,Американский слэшер: часть вторая (2019),"Фильмы 2019,Комедии 2019,Ужасы 2019","Прошло много лет с тех пор, как ветеран Вьетнама Билли Крид сошел с ума и поубивал всех вожатых лагеря Гринбрир. Но у истинного зла нет срока годности, и старина Билли снова выходит на охоту. На этот",http://fast-torrents.co/uploads/posts/2020-03/158448060911.jpg
http://fast-torrents.co/6161-propavshie-devushki-2020.html,Пропавшие девушки (2020),"Фильмы 2020,Детективы 2019,Драмы 2019,Триллеры 2019","Отчаявшись ждать помощи от полиции, женщина берётся лично расследовать исчезновение своей дочери. Одновременно она обнаруживает серию жестоких убийств секс-работниц.",http://fast-torrents.co/uploads/posts/2020-03/158436750111.jpg
http://fast-torrents.co/6160-iskuplenie-2020.html,Искупление (2020),"Фильмы 2020,Драмы 2019,Триллеры 2019,Криминальные фильмы 2019","В поисках свободы молодая девушка Зоя сбегает от заботливого но властного отца и попадает в семью похитителей, лжецов и насильников.",http://fast-torrents.co/uploads/posts/2020-03/158436630611.jpg
http://fast-torrents.co/6159-stargerl-2020.html,Старгерл (2020),"Фильмы 2020,Драмы 2019,Комедии 2019,Мелодрамы 2019","Скромный старшеклассник по необъяснимым причинам тянется к свободной духом новенькой и проводит всё своё свободное время, пытаясь узнать о ней больше.",http://fast-torrents.co/uploads/posts/2020-03/158436630211.jpg
http://fast-torrents.co/6158-znak-voprosa-2019.html,Знак вопроса (2019),"Фильмы 2019,Драмы 2019","Знак вопроса — история о семьянине, которого несправедливо обвинили в том, что он использовал собственную дочь в корыстных целях, пожертвовав счастьем своей семьи.",http://fast-torrents.co/uploads/posts/2020-03/158436180811.jpg
http://fast-torrents.co/6157-trudnosti-adaptacii-2019.html,Трудности адаптации (2019),"Фильмы 2019,Драмы 2019","Когда известный музыкальный продюсер, страдающий психическим расстройством, перестает принимать лекарства, его друзья отправляются за ним по клубам Лос-Анджелеса.",http://fast-torrents.co/uploads/posts/2020-03/158436180311.jpg
http://fast-torrents.co/6156-materi-chudovisch-2020.html,Матери чудовищ (2020),"Фильмы 2020,Триллеры 2019","Доведенная до отчаяния мать подозревает, что ее сын психопат и вполне может устроить стрельбу в школе. Джейкоб отказывается лечиться, ловко обводя всех врачей вокруг пальца. В конце концов, Эбби",http://fast-torrents.co/uploads/posts/2020-03/158436120911.jpg
http://fast-torrents.co/6155-taskalusa-2019.html,Таскалуса (2019),"Фильмы 2019,Драмы 2019","Двадцатидвухлетний выпускник университета Билли Митчелл подает надежды на то, чтобы войти в светское общество. Но он понимает, что все планы меняются, когда он влюбляется в пациентку психиатрической",http://fast-torrents.co/uploads/posts/2020-03/158436120311.jpg
http://fast-torrents.co/6154-ubiystva-po-otkrytkam-2020.html,Убийства по открыткам (2020),"Фильмы 2020,Детективы 2019,Драмы 2019,Криминальные фильмы 2019","Лондон, Мадрид, Стокгольм... В Европе орудует жестокий и изощрённый маньяк-убийца. Перемещаясь из города в город, он дразнит полицию, посылая журналистам подсказки в виде открыток из музеев. Одной из",http://fast-torrents.co/uploads/posts/2020-03/158436001311.jpg
http://fast-torrents.co/6153-neobyasnimoe-2019.html,Необъяснимое (2019),"Фильмы 2019,Боевики 2019","Двенадцатилетняя девочка просыпается в лесу с амнезией. Она понимает, что владеет арсеналом библейских знаний и боевыми искусствами. Когда она узнает, что за ней охотятся опасные бандиты, ей",http://fast-torrents.co/uploads/posts/2020-03/158436000611.jpg
http://fast-torrents.co/6151-maylz-devis-rozhdenie-novogo-dzhaza-2019.html,Майлз Дэвис: Рождение нового джаза (2019),Документальные фильмы 2019,"Биография музыканта, собранная из прежде неизданных архивных материалов и интервью с соратниками и последователями. Фильм концентрируется на фигуре Дэвиса-революционера, не признававшего никаких",http://fast-torrents.co/uploads/posts/2020-03/medium/158431170611.jpg
http://fast-torrents.co/6150-grom-yurskogo-perioda-2019.html,Гром юрского периода (2019),"Фильмы 2019,Боевики 2019","Третья мировая война. Отряд наёмников и вооружённых динозавров отправляется на задание с целью защитить секретную базу в пустыне. Однако, в ходе выполнения миссии им приходится столкнуться с куда",http://fast-torrents.co/uploads/posts/2020-03/158431170111.jpg
http://fast-torrents.co/6149-brak-po-raschetu-2019.html,Брак по расчету (2019),"Фильмы 2019,Комедии 2019,Мелодрамы 2019","Это забавная история о 36-летнем безработном мужчине Пушпиндере и девушке Аните, что хотят найти пару и вступить в брак. Но есть одна загвоздка - Анита отклоняет все предложения руки и сердца, желая",http://fast-torrents.co/uploads/posts/2020-03/158431020711.jpg
http://fast-torrents.co/6148-alfa-test-2020.html,Альфа-тест (2020),Фильмы 2020,"В простую семью, живущую за городом, привозят новый гаджет, ""Домашний Помощник Альфа"", но злобная несносная хозяйка доводит робота до крайности и заставляет искусственный интеллект мстить и убивать.",http://fast-torrents.co/uploads/posts/2020-03/158431020211.jpg
http://fast-torrents.co/6147-lyubov-mezhdu-strok-2019.html,Любовь между строк (2019),"Фильмы 2019,Драмы 2019,Мелодрамы 2019","Эмми Ротнер хочет всего лишь отказаться от подписки на газету, но совершает опечатку в адресе получателя. Письмо оказывается в почтовом ящике Лео Лайке, с этого и начинается их долгая переписка и",http://fast-torrents.co/uploads/posts/2020-03/158430961111.jpg
http://fast-torrents.co/6146-prizrachnye-priklyuchency-2019.html,Призрачные приключенцы (2019),"Фильмы 2019,Комедии 2019","После переезда пара узнает, что их новый дом населён призраками и имеет тёмное прошлое. Для того, чтобы избавиться от пугающих соседей, они призывают на помощь команду неопытных ловцов призраков,",http://fast-torrents.co/uploads/posts/2020-03/158430960611.jpg
http://fast-torrents.co/6145-karting-2020.html,Картинг (2020),Фильмы 2020,"История о юном парне, который должен преодолеть огромные трудности и собственное безрассудство, чтобы осуществить свою мечту о победе в национальном чемпионате по картингу.",http://fast-torrents.co/uploads/posts/2020-03/158430720911.jpg
http://fast-torrents.co/6143-prikolyucheniya-iri-moego-druga-robota-2019.html,"Приколючения И.Р.И, моего друга робота (2019)",Фильмы 2019,"Подросток набирается смелости, чтобы помочь дружелюбному роботу по имени И. Р. И. Его похитил безжалостный директор лаборатории, работающий на могущественную корпорацию. Ученые хотят превратить",http://fast-torrents.co/uploads/posts/2020-03/158422920811.jpg
http://fast-torrents.co/6142-doblest-na-reke-2019.html,Доблесть на реке (2019),"Фильмы 2019,Военные фильмы 2019","Этот блокбастер посвящён 70-тилетию основания Китайской Народной Республики. Посвящается многочисленным жертвам храбрых революционеров и многочисленным победам, которые одержала Коммунистическая",http://fast-torrents.co/uploads/posts/2020-03/158422920311.jpg
http://fast-torrents.co/6141-bryzgi-2020.html,Брызги (2020),"Фильмы 2020,Драмы 2019","История основана на жизни Лакшми Агарвал — девушки, которую в 15 лет облил кислотой 32-летний мужчина, чьи ухаживания она отвергла.",http://fast-torrents.co/uploads/posts/2020-03/158422680911.jpg
http://fast-torrents.co/6140-sluchaynyy-drug-2019.html,Случайный друг (2019),"Фильмы 2019,Триллеры 2019","Круговорот лжи и обмана, а также попытка утаить содеянное толкают Дон, её брата и подругу на скользкую дорожку преступлений. Быть может им и удастся сохранить всё в тайне, но какой ценой и смогут ли",http://fast-torrents.co/uploads/posts/2020-03/158422680511.jpg
http://fast-torrents.co/6139-podnogotnaya-gamleta-2019.html,Подноготная Гамлета (2019),Фильмы 2019,"Спектакль одного актёра, который перевоплощается во всех персонажей знаменитой трагедии Шекспира «Гамлет».",http://fast-torrents.co/uploads/posts/2020-03/158422650611.jpg
http://fast-torrents.co/6138-horoshiy-doktor-2019.html,Хороший доктор (2019),"Фильмы 2019,Комедии 2019","У дежурного врача прихватило поясницу. Чтобы не оставлять пациентов без внимания накануне праздников и уберечь себя от увольнения, он уговорил простого курьера ходить на вызовы.",http://fast-torrents.co/uploads/posts/2020-03/158422650111.jpg
http://fast-torrents.co/6137-sidero-rekords-film-2019.html,Сидэро Рекордс: Фильм (2019),"Фильмы 2019,Драмы 2019,Фильмы","Наркоторговку по прозвищу Начальница обокрал неизвестный, и она намерена выяснить, кто это сделал, и наказать его. А нечистый на руку владелец рекорд-лейбла обманывает артисток, которые пытаются",http://fast-torrents.co/uploads/posts/2020-03/158422260911.jpg
http://fast-torrents.co/6136-poet-2019.html,Поэт (2019),"Фильмы 2019,Драмы 2019,Комедии 2019,Мелодрамы 2019","Девушка бариста влюбляется в поэта, который пытается забыть свое прошлое и начать новую жизнь.",http://fast-torrents.co/uploads/posts/2020-03/158422260411.jpg
http://fast-torrents.co/6135-idi-za-mnoy-v-ad-2019.html,Иди за мной в ад (2019),"Фильмы 2019,Ужасы 2019","Молодая женщина Лита, ожидающая ребёнка, решает избавиться от странного шрама на своей спине. Муж отвозит её на операцию, после чего, в их доме начинают происходить странные и страшные вещи.",http://fast-torrents.co/uploads/posts/2020-03/158422230611.jpg
http://fast-torrents.co/6133-molchi-2020.html,Молчи (2020),"Фильмы 2020,Ужасы 2019","Семья приезжает на старую ферму родителей на отшибе маленького городка, чтобы проведать бабушку с дедушкой, но обнаруживает, что фермерский дом и все окружающие дома опустели. В попытке разобраться",http://fast-torrents.co/uploads/posts/2020-03/158413770211.jpg
